variable,coef,std_err,t_stat,p_value,abs_t
const,-1.619070539116038e-08,1.72276233522008e-08,-0.9398107365222867,0.3473146506111685,0.9398107365222867
sigma_d,0.6305860465698484,0.11410112519675383,5.52655414644227,3.2658149933640714e-08,5.52655414644227
day_1,5.38306112377883e-10,3.1623563955804504e-09,0.17022310108063482,0.8648346848044164,0.17022310108063482
day_2,-3.5803843633220496e-09,4.565282527259429e-09,-0.7842634802870304,0.4328855234828354,0.7842634802870304
day_3,3.9397442393410395e-09,3.219825557275117e-09,1.2235893433541094,0.2211071817025596,1.2235893433541094
day_4,8.638020537925168e-09,3.317193534634532e-09,2.6040146430216806,0.009213882013665246,2.6040146430216806
hour_11,3.2138426811812607e-09,9.127588943627857e-09,0.35210203932604844,0.7247617390446194,0.35210203932604844
hour_12,8.81479132883154e-09,1.645933339804872e-08,0.5355497161189133,0.5922697889559287,0.5355497161189133
hour_13,9.905121295656556e-09,1.653696568853908e-08,0.5989684856467523,0.549193900078508,0.5989684856467523
hour_14,6.364923228724298e-09,1.4281749867607584e-08,0.445668303095027,0.6558368639800971,0.445668303095027
hour_15,1.0741839213862976e-08,1.3550845879905583e-08,0.7927061756190397,0.42794903141294227,0.7927061756190397
hour_16,1.5056894568090707e-08,9.083334272456873e-09,1.6576395975811753,0.09739023221419187,1.6576395975811753
window_overnight,4.1379212868437117e-08,1.2790455592944002e-08,3.235163326884495,0.0012157316617469657,3.235163326884495
window_weekend_holiday,1.5273991181265532e-07,7.974040366469847e-08,1.9154644921903519,0.05543329327361239,1.9154644921903519
news_Ad Hoc_Covid-19,1.887272077137139e-07,8.168475605017472e-08,2.3104336333916278,0.020864158840919644,2.3104336333916278
news_Central Bank_BoE_Minutes,1.0868504007770689e-06,3.277414520432739e-07,3.3161822955296016,0.0009125628110632053,3.3161822955296016
news_Central Bank_BoJ_Press Conference,6.723312331479727e-08,7.030746313743517e-08,0.9562729234501285,0.3389343658222935,0.9562729234501285
news_Central Bank_BoJ_Press Release,6.091865025965376e-08,6.994725667074395e-08,0.8709226517118507,0.3837963877109666,0.8709226517118507
news_Central Bank_ECB_Ad Hoc Press Release,5.523747009432494e-07,4.028513142825344e-07,1.3711627127914714,0.17032423893104498,1.3711627127914714
news_Central Bank_Fed_Ad Hoc Press Release,-3.3830947061720505e-08,8.37544521492421e-08,-0.4039301337848539,0.686264096503004,0.4039301337848539
news_Central Bank_Fed_Press Conference,1.1599310559966871e-07,1.156905448324811e-07,1.0026152592472075,0.31604653048967724,1.0026152592472075
news_Central Bank_Fed_Press Release,4.5909967316941245e-08,4.8329708448252585e-08,0.949932635453363,0.342146482858547,0.949932635453363
"news_Macro Release_CH_Producer, Import Prices",3.37728576828464e-08,4.551029711582413e-08,0.742092665246596,0.45803119350384447,0.742092665246596
news_Macro Release_CN_GDP and Other Macro Aggregates,4.242663646827204e-08,5.399260893852036e-08,0.7857860048322889,0.4319928670187303,0.7857860048322889
news_Macro Release_IE_Investec Manufacturing PMI,5.63885119551076e-08,7.105011175404004e-08,0.7936442401429614,0.42740256988168435,0.7936442401429614
news_Macro Release_JP_Machine Orders,7.292451460023793e-08,8.82668433540383e-08,0.8261824239905998,0.40870061692545545,0.8261824239905998
news_Macro Release_UK_Rightmove House Prices,3.602558170120364e-08,6.055188723824947e-08,0.5949539039048641,0.5518742840285219,0.5949539039048641
news_Macro Release_US_Empire Manufacturing,1.6551431335505832e-08,1.8140948100373987e-08,0.9123796200687335,0.3615689140455167,0.9123796200687335
